film_id,title,COUNT(rental.inventory_id)
872,"SWEET BROTHERHOOD",5
515,"LEGALLY SECRETARY",5
827,"SPICE SORORITY",5
257,"DRUMLINE CYCLONE",5
911,"TRIP NEWTON",5
143,"CHILL LUCK",5
309,"FEUD FROGMEN",5
579,"MINDS TRUMAN",5
987,"WORDS HUNTER",5
439,"HUNCHBACK IMPOSSIBLE",5
426,"HOME PITY",5
546,"MADRE GABLES",5
704,"PURE RUNNER",5
646,"OUTBREAK DIVINE",5
778,"SECRETS PARADISE",5
4,"AFFAIR PREJUDICE",5
246,"DOUBTFIRE LABYRINTH",5
911,"TRIP NEWTON",5
132,"CHAINSAW UPTOWN",5
631,"NOVOCAINE FLIGHT",5
532,"LOSER HUSTLER",5
344,"FURY MURDER",5
730,"RIDGEMONT SUBMARINE",5
59,"BEAR GRACELAND",5
112,"CALENDAR GUNFIGHT",5
288,"ESCAPE METROPOLIS",5
251,"DRAGONFLY STRANGERS",5
749,"RULES HUMAN",5
696,"PRIDE ALAMO",5
596,"MOONSHINE CABIN",5
206,"DANCING FEVER",5
284,"ENEMY ODDS",5
391,"HALF OUTFIELD",5
608,"MURDER ANTITRUST",5
853,"STRANGER STRANGERS",5
448,"IDAHO LOVE",5
279,"ELIZABETH SHANE",5
618,"NECKLACE OUTBREAK",5
155,"CLEOPATRA DEVIL",5
535,"LOVE SUICIDES",5
552,"MAJESTIC FLOATS",5
406,"HAUNTING PIANIST",5
130,"CELEBRITY HORN",5
861,"SUIT WALLS",5
598,"MOSQUITO ARMAGEDDON",5
450,"IDOLS SNATCHERS",5
96,"BREAKING HOME",5
819,"SONG HEDWIG",5
609,"MUSCLE BRIGHT",5
753,"RUSH GOODFELLAS",5
393,"HALLOWEEN NUTS",5
506,"LADY STAGE",5
39,"ARMAGEDDON LOST",5
451,"IGBY MAKER",5
948,"VOICE PEACH",5
71,"BILKO ANONYMOUS",5
220,"DEER VIRGINIAN",5
967,"WEEKEND PERSONAL",5
394,"HAMLET WISDOM",5
307,"FELLOWSHIP AUTUMN",5
953,"WAIT CIDER",5
767,"SCALAWAG DUCK",5
557,"MANCHURIAN CURTAIN",5
263,"DURHAM PANKY",5
159,"CLOSER BANG",5
869,"SUSPECTS QUILLS",5
672,"PERFECT GROOVE",5
98,"BRIGHT ENCOUNTERS",5
585,"MOB DUFFEL",5
298,"EYES DRIVING",5
34,"ARABIA DOGMA",5
614,"NAME DETECTIVE",5
253,"DRIFTER COMMANDMENTS",5
735,"ROBBERS JOON",5
514,"LEBOWSKI SOLDIERS",5
576,"MIGHTY LUCK",5
770,"SCISSORHANDS SLUMS",5
995,"YENTL IDAHO",5
814,"SNATCH SLIPPER",5
255,"DRIVING POLISH",5
920,"UNBREAKABLE KARATE",5
735,"ROBBERS JOON",5
872,"SWEET BROTHERHOOD",5
516,"LEGEND JEDI",5
681,"PIRATES ROXANNE",5
313,"FIDELITY DEVIL",5
575,"MIDSUMMER GROUNDHOG",5
299,"FACTORY DRAGON",5
367,"GOLDMINE TYCOON",5
730,"RIDGEMONT SUBMARINE",5
42,"ARTIST COLDBLOODED",5
374,"GRAFFITI LOVE",5
528,"LOLITA WORLD",5
426,"HOME PITY",5
895,"TOMORROW HUSTLER",5
260,"DUDE BLINDNESS",5
646,"OUTBREAK DIVINE",5
989,"WORKING MICROCOSMOS",5
531,"LOSE INCH",5
369,"GOODFELLAS SALUTE",5
573,"MICROCOSMOS PARADISE",5
912,"TROJAN TOMORROW",5
533,"LOST BIRD",5
730,"RIDGEMONT SUBMARINE",5
59,"BEAR GRACELAND",5
478,"JAWS HARRY",5
373,"GRADUATE LORD",5
850,"STORY SIDE",5
84,"BOILED DARES",5
437,"HOUSE DYNAMITE",5
418,"HOBBIT ALIEN",5
135,"CHANCE RESURRECTION",5
377,"GREASE YOUTH",5
109,"BUTTERFLY CHOCOLAT",5
79,"BLADE POLISH",5
8,"AIRPORT POLLOCK",5
347,"GAMES BOWFINGER",5
608,"MURDER ANTITRUST",5
200,"CURTAIN VIDEOTAPE",5
164,"COAST RAINBOW",5
555,"MALLRATS UNITED",5
279,"ELIZABETH SHANE",5
717,"REAR TRADING",5
966,"WEDDING APOLLO",5
791,"SHOW LORD",5
535,"LOVE SUICIDES",5
595,"MOON BUNCH",5
162,"CLUELESS BUCKET",5
30,"ANYTHING SAVANNAH",5
493,"KANE EXORCIST",5
552,"MAJESTIC FLOATS",5
156,"CLERKS ANGELS",5
670,"PELICAN COMFORTS",5
656,"PAPI NECKLACE",5
450,"IDOLS SNATCHERS",5
96,"BREAKING HOME",5
65,"BEHAVIOR RUNAWAY",5
159,"CLOSER BANG",5
976,"WIND PHANTOM",5
393,"HALLOWEEN NUTS",5
334,"FREDDY STORM",5
865,"SUNRISE LEAGUE",5
284,"ENEMY ODDS",5
395,"HANDICAP BOONDOCK",5
331,"FORWARD TEMPLE",5
602,"MOURNING PURPLE",5
667,"PEACH INNOCENT",5
816,"SNOWMAN ROLLERCOASTER",5
721,"REDS POCUS",5
159,"CLOSER BANG",5
397,"HANKY OCTOBER",5
869,"SUSPECTS QUILLS",5
356,"GIANT TROOPERS",5
73,"BINGO TALENTED",5
296,"EXPRESS LONELY",5
770,"SCISSORHANDS SLUMS",5
75,"BIRD INDEPENDENCE",5
619,"NEIGHBORS CHARADE",5
233,"DISCIPLE MOTHER",5
872,"SWEET BROTHERHOOD",5
457,"INDEPENDENCE HOTEL",5
773,"SEABISCUIT PUNK",5
730,"RIDGEMONT SUBMARINE",5
42,"ARTIST COLDBLOODED",5
471,"ISLAND EXORCIST",5
987,"WORDS HUNTER",5
816,"SNOWMAN ROLLERCOASTER",5
245,"DOUBLE WRATH",5
870,"SWARM GOLD",5
989,"WORKING MICROCOSMOS",5
418,"HOBBIT ALIEN",5
264,"DWARFS ALTER",5
240,"DOLLS RAGE",5
304,"FARGO GANDHI",5
775,"SEATTLE EXPECATIONS",5
6,"AGENT TRUMAN",5
991,"WORST BANGER",5
265,"DYING MAKER",5
239,"DOGMA FAMILY",5
137,"CHARADE DUFFEL",5
59,"BEAR GRACELAND",5
317,"FIREBALL PHILADELPHIA",5
633,"OCTOBER SUBMARINE",5
782,"SHAKESPEARE SADDLE",5
543,"MADIGAN DORADO",5
135,"CHANCE RESURRECTION",5
327,"FOOL MOCKINGBIRD",5
167,"COMA HEAD",5
582,"MIRACLE VIRTUAL",5
8,"AIRPORT POLLOCK",5
348,"GANDHI KWAI",5
55,"BARBARELLA STREETCAR",5
933,"VAMPIRE WHALE",5
432,"HOPE TOOTSIE",5
892,"TITANIC BOONDOCK",5
791,"SHOW LORD",5
535,"LOVE SUICIDES",5
341,"FROST HEAD",5
141,"CHICAGO NORTH",5
196,"CRUELTY UNFORGIVEN",5
493,"KANE EXORCIST",5
139,"CHASING FIGHT",5
166,"COLOR PHILADELPHIA",5
450,"IDOLS SNATCHERS",5
484,"JERK PAYCHECK",5
719,"RECORDS ZORRO",5
753,"RUSH GOODFELLAS",5
159,"CLOSER BANG",5
684,"PIZZA JUMANJI",5
659,"PARK CITIZEN",5
451,"IGBY MAKER",5
86,"BOOGIE AMELIE",5
284,"ENEMY ODDS",5
822,"SOUP WISDOM",5
756,"SADDLE ANTITRUST",5
968,"WEREWOLF LOLA",5
395,"HANDICAP BOONDOCK",5
331,"FORWARD TEMPLE",5
867,"SUPER WYOMING",5
602,"MOURNING PURPLE",5
178,"CONNECTION MICROCOSMOS",5
941,"VIDEOTAPE ARSENIC",5
757,"SAGEBRUSH CLUELESS",5
971,"WHALE BIKINI",5
397,"HANKY OCTOBER",5
186,"CRAFT OUTFIELD",5
869,"SUSPECTS QUILLS",5
599,"MOTHER OLEANDER",5
663,"PATIENT SISTER",5
463,"INSTINCT AIRPORT",5
571,"METAL ARMAGEDDON",5
398,"HANOVER GALAXY",5
958,"WARDROBE PHANTOM",5
25,"ANGELS LIFE",5
770,"SCISSORHANDS SLUMS",5
26,"ANNIE IDENTITY",5
814,"SNATCH SLIPPER",5
941,"VIDEOTAPE ARSENIC",5
367,"GOLDMINE TYCOON",5
502,"KNOCK WARLOCK",5
759,"SALUTE APOLLO",5
226,"DESTINY SATURDAY",5
665,"PATTON INTERVIEW",5
299,"FACTORY DRAGON",5
563,"MASSACRE USUAL",5
367,"GOLDMINE TYCOON",5
982,"WOMEN DORADO",5
234,"DISTURBING SCARFACE",5
898,"TOURIST PELICAN",5
529,"LONELY ELEPHANT",5
458,"INDIAN LOVE",5
361,"GLEAMING JAWBREAKER",5
922,"UNDEFEATED DALMATIONS",5
245,"DOUBLE WRATH",5
871,"SWEDEN SHINING",5
521,"LIES TREATMENT",5
314,"FIGHT JAWBREAKER",5
572,"METROPOLIS COMA",5
360,"GLASS DYING",5
52,"BALLROOM MOCKINGBIRD",5
370,"GORGEOUS BINGO",5
775,"SEATTLE EXPECATIONS",5
417,"HILLS NEIGHBORS",5
912,"TROJAN TOMORROW",5
521,"LIES TREATMENT",5
437,"HOUSE DYNAMITE",5
418,"HOBBIT ALIEN",5
267,"EAGLES PANKY",5
543,"MADIGAN DORADO",5
109,"BUTTERFLY CHOCOLAT",5
676,"PHILADELPHIA WIFE",5
776,"SECRET GROUNDHOG",5
889,"TIES HUNGER",5
134,"CHAMPION FLATLINERS",5
474,"JADE BUNCH",5
331,"FORWARD TEMPLE",5
164,"COAST RAINBOW",5
854,"STRANGERS GRAFFITI",5
839,"STALLION SUNDANCE",5
80,"BLANKET BEVERLY",5
422,"HOLLOW JEOPARDY",5
792,"SHREK LICENSE",5
535,"LOVE SUICIDES",5
698,"PRINCESS GIANT",5
197,"CRUSADE HONEY",5
